Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
On the feasibility of automated prediction of bug and non-bug issues;development support and automation;recommendations;;software maintenance;;;;;
On the time-based conclusion stability of cross-project defect prediction models;software quality;defects;prediction;MSR techniques;threats;;;;
The state of adoption and the challenges of systematic variability management in industry;no MSR study;;;;;;;;
Better software analytics via “DUO”: Data mining algorithms using/used-by optimizers;MSR techniques;tool development;;;;;;;
Memory and resource leak defects and their repairs in Java projects;software quality;defects;localisation;software quality;defects;fixes;;;
Pandemic programming: How COVID-19 affects software developers and how their organizations can help;no MSR study;;;;;;;;
Practical relevance of software engineering research: synthesizing the community’s voice;no MSR study;;;;;;;;
What should your run-time configuration framework do to help developers?;no MSR study;;;;;;;;
The impact of context metrics on just-in-time defect prediction;software quality;defects;prediction;;;;;;
How developers engage with static analysis tools in different contexts;software quality;defects;detection;software maintenance;debugging and logging;;;;
An empirical assessment of baseline feature location techniques;software architecture and design;features and variants;;software maintenance;;;;;
Every build you break: developer-oriented assistance for build failure resolution;software maintenance;development operations;builds;software maintenance;development operations;CI/CD;development support and automation;summarisation;build log summarisation
An empirical characterization of bad practices in continuous integration;software maintenance;development operations;builds;software maintenance;development operations;CI/CD;;;
A gamification solution for improving Scrum adoption;no MSR study;;;;;;;;
An approach and benchmark to detect behavioral changes of commits in continuous integration;software maintenance;change patterns and evolution;;software maintenance;development operations;CI/CD;;;
A feature location approach for mapping application features extracted from crowd-based screencasts to source code;software architecture and design;features and variants;;software maintenance;;;development support and automation;topic and knowledge modeling;
Individual differences limit predicting well-being and productivity using software repositories: a longitudinal industrial study;software maintenance;activity and productivity;;collaboration and coordination;communication;;;;
An empirical study of IoT topics in IoT developer discussions on Stack Overflow;collaboration and coordination;communication;topic modeling;;;;;;
An empirical study of Q&A websites for game developers;collaboration and coordination;communication;topic modeling;;;;;;
An empirical study on the use of SZZ for identifying inducing changes of non-functional bugs;software quality;defects;detection;software quality;performance;;software maintenance;change patterns and evolution;
Analysing Time-Stamped Co-Editing Networks in Software Development Teams using git2net;MSR techniques;tool development;;collaboration and coordination;organisational structures;;software maintenance;activity and productivity;
Single-state state machines in model-driven software engineering: an exploratory study;software architecture and design;patterns and anti-patterns;;;;;;;
World of code: enabling a research workflow for mining and analyzing the universe of open source VCS data;MSR techniques;tool development;;software maintenance;bots;;;;
Topic modeling in software engineering research;no MSR study;tool development;;software maintenance;bots;;;;
From one to hundreds: multi-licensing in the JavaScript ecosystem;software governance;licensing;;;;;;;
An empirical investigation of organic software product lines;software architecture and design;features and variants;;software maintenance;reuse and clones;;;;
Applying test case prioritization to software microbenchmarks;software quality;tests;;;;;;;
An exploratory study on the introduction and removal of different types of technical debt in deep learning frameworks;software maintenance;technical debt;;;;;;;
Out of sight, out of mind? How vulnerable dependencies affect open-source projects;software maintenance;dependency management;;software quality;vulnerabilities and security;;;;
Evaluating the impact of falsely detected performance bug-inducing changes in JIT models;software quality;defects;detection;;;;;;
