project_name,primary_language,window_starts,window_ends,Events,NLOC,LevD,Tokens,CycC,Functions,Commits,HalEff,TS,N,E,Diam,Dens,ClustC,InD,EigG,FModR
eclipse__birt__2020-06-11_00-34-50,Java,1168504154,1193905754,7070.457142857143,3343.457142857143,189459.6857142857,20931.51428571429,567.4285714285714,176.31428571428572,77.02857142857142,21366214.437794685,35,57,19110,6,0.10181704260651628,0.5919445891103313,5.701754385964913,0.0117476509389095,0.10352906265293568
eclipse__birt__2020-06-11_00-34-50,Java,1193905754,1219307354,9017.793103448275,4326.482758620689,239409.8275862069,26031.13793103448,735.8620689655172,228.27586206896552,95.86206896551724,34021264.875865154,29,55,26203,5,0.0952861952861953,0.6212977317790151,5.1454545454545455,0.0221198851243094,0.12100603785122813
eclipse__birt__2020-06-11_00-34-50,Java,1219307354,1244708954,5620.137931034483,2786.9310344827586,149527.41379310345,16525.724137931036,477.6551724137931,153.24137931034485,67.3103448275862,24753406.74686209,29,62,17543,5,0.07191961924907456,0.6056023549856567,4.387096774193548,0.0076621597941765,0.17587955607527606
eclipse__birt__2020-06-11_00-34-50,Java,1244708954,1270110554,5291.291666666667,2640.2083333333335,143472.75,15856,476.9583333333333,136.95833333333334,72.20833333333333,20303638.6234949,24,55,14936,6,0.07306397306397307,0.5626297618008848,3.9454545454545458,0.04090021510260389,0.11185960305763296
eclipse__birt__2020-06-11_00-34-50,Java,1270110554,1295512154,3627.086956521739,1907.695652173913,98058.65217391304,11675.739130434782,352.69565217391306,81.65217391304348,71.65217391304348,18268933.787219368,23,52,10164,5,0.07918552036199095,0.5892106314347118,4.038461538461538,0.03711855305296807,0.10296417130147344
eclipse__birt__2020-06-11_00-34-50,Java,1295512154,1320913754,2051.24,1129.12,54767.28,6656.8,199.92,56.36,32.28,18427623.586324085,25,54,4873,6,0.05520614954577219,0.5876781382500336,2.925925925925926,0.02420102003954283,0.10467945674841284
eclipse__birt__2020-06-11_00-34-50,Java,1320913754,1346315354,2452.125,1328,69246.70833333333,8142.833333333333,231.41666666666663,57.416666666666664,38.166666666666664,14602836.931248171,24,52,7050,6,0.05580693815987934,0.5091538971599701,2.8461538461538463,0.01625244276652882,0.10977046194176043
eclipse__birt__2020-06-11_00-34-50,Java,1346315354,1371716954,2185.5652173913045,1182.695652173913,58951.69565217391,7036.826086956522,219.3913043478261,57.56521739130435,42.08695652173913,9275724.716873355,23,60,7916,6,0.04971751412429378,0.5033066847153534,2.933333333333333,0.01703647688529352,0.16390059200818854
eclipse__birt__2020-06-11_00-34-50,Java,1371716954,1397118554,2454.095238095238,1148.2380952380952,60538.28571428572,6414.047619047619,196.8095238095238,53.19047619047619,41.38095238095238,17628253.353331048,21,52,9004,6,0.05995475113122171,0.4625265794576941,3.0576923076923075,0.05458378586040058,0.15858190986263965
eclipse__birt__2020-06-11_00-34-50,Java,1397118554,1422520154,2510.7368421052633,1074.3684210526317,57374.57894736842,6228.263157894737,173.78947368421052,53.63157894736842,33.89473684210526,8640570.635919278,19,71,8876,7,0.04124748490945674,0.44440631711878387,2.887323943661972,0.12440256053159128,0.31037734779131276
eclipse__birt__2020-06-11_00-34-50,Java,1422520154,1447921754,1072.7777777777778,447.6666666666667,26775.666666666668,2784.5555555555557,75.11111111111111,25.666666666666668,15.444444444444445,4004308.944006222,9,50,1145,4,0.03877551020408163,0.19037895437895436,1.9,0.07271424340028743,0.10619283867602386
eclipse__birt__2020-06-11_00-34-50,Java,1447921754,1473323354,1376.888888888889,514.7777777777778,30837.333333333332,3136.8888888888887,78.11111111111111,23.444444444444443,15.333333333333334,5500268.778931279,9,52,2905,4,0.04147812971342383,0.41582010351806736,2.1153846153846154,0.13933673117391387,0.21012370897323515
eclipse__birt__2020-06-11_00-34-50,Java,1473323354,1498724954,294.25,105.16666666666669,8485.333333333334,636.1666666666666,15.25,6,5,824042.2242252919,12,36,864,3,0.04206349206349207,0.19214400736139864,1.4722222222222223,0.01927057341016158,0.25540828509767255
eclipse__birt__2020-06-11_00-34-50,Java,1498724954,1524126554,292.64285714285717,187,8053.714285714285,1059.142857142857,34.214285714285715,11.785714285714286,4.642857142857143,1696731.4841056468,14,30,778,2,0.03448275862068965,0.02666666666666666,1,0.04762110313072854,0.22984379407920727
eclipse__birt__2020-06-11_00-34-50,Java,1524126554,1549528154,150.1818181818182,99.1818181818182,3877.818181818182,540.7272727272727,16.545454545454547,4.454545454545454,3.090909090909091,1512384.9707791237,11,26,160,2,0.04769230769230769,0.06135531135531135,1.1923076923076923,0.01794071929201191,0.16543833627061472
eclipse__birt__2020-06-11_00-34-50,Java,1549528154,1574929754,119.54545454545456,51.45454545454545,3307.090909090909,366.1818181818182,5,0.7272727272727273,2.272727272727273,277111.8613996405,11,27,128,2,0.03276353276353276,0,0.8518518518518519,2.000000000279556e-6,0.22180884480805715
GNOME__gtk__2020-06-13_12-30-17,C,880707167,906108767,1883.8666666666663,926.6,43516.63333333333,5119.6,161.66666666666666,30.133333333333333,22.833333333333332,49728257.569329366,30,31,4813,6,0.11827956989247312,0.4738698530294456,3.5483870967741935,0.2804722480694072,0.21700313844784944
GNOME__gtk__2020-06-13_12-30-17,C,906108767,931510367,694.6578947368421,251.07894736842104,15445.421052631578,1427.657894736842,50.026315789473685,7.7894736842105265,9.657894736842104,17833129.624294784,38,44,1669,4,0.05496828752642706,0.39033690946734434,2.363636363636364,0.12670871704498787,0.1554097003078656
GNOME__gtk__2020-06-13_12-30-17,C,931510367,956911967,857.2307692307693,337.5769230769231,21254.5,2182.6153846153848,60.07692307692308,10.26923076923077,10.961538461538462,5202708.994979899,26,27,2754,5,0.13675213675213674,0.4800624272846495,3.5555555555555554,0.22362229598991745,0.27928133764552915
GNOME__gtk__2020-06-13_12-30-17,C,956911967,982313567,1377.925925925926,587.4814814814815,33279.81481481482,3207.1481481481483,95.07407407407408,18.03703703703704,14.48148148148148,17304525.177904025,27,44,2003,5,0.04862579281183932,0.3076597014097014,2.090909090909091,0.10562638050541208,0.12514991895034822
GNOME__gtk__2020-06-13_12-30-17,C,982313567,1007715167,1688.054054054054,712.081081081081,44690.7027027027,3804.6216216216217,115.16216216216216,24.56756756756757,22.24324324324324,38391499.69794099,37,65,5210,5,0.05,0.5400022163755791,3.2,0.39275646174731493,0.17001659743440384
GNOME__gtk__2020-06-13_12-30-17,C,1007715167,1033116767,946.5813953488372,401.69767441860466,24752.81395348837,2176.813953488372,74.30232558139535,12.674418604651162,20.6046511627907,25941297.337449834,43,64,4734,4,0.04836309523809524,0.43125500466332384,3.046875,0.22086267676852012,0.20487371004523655
GNOME__gtk__2020-06-13_12-30-17,C,1033116767,1058518367,1203.8064516129032,431.741935483871,30974.129032258064,2484.5806451612902,77.2258064516129,14.225806451612904,18.612903225806452,26431874.456274047,31,69,5120,4,0.0370843989769821,0.4471479618942265,2.5217391304347827,0.21119056014028736,0.2018162680226591
GNOME__gtk__2020-06-13_12-30-17,C,1058518367,1083919967,1328.3170731707316,551.8536585365854,35775.70731707317,2941.951219512195,95.8780487804878,19.365853658536587,25.097560975609756,23917134.40556306,41,59,4603,4,0.04763296317942724,0.4133946950205072,2.76271186440678,0.18578291774067957,0.15137817158634623
GNOME__gtk__2020-06-13_12-30-17,C,1083919967,1109321567,1098.34375,472.34375,28288.4375,2507.3125,77.375,15.21875,28.96875,30693823.92681644,32,54,3116,4,0.0429769392033543,0.3495154718193934,2.2777777777777777,0.1859040135060445,0.17912703068558267
GNOME__gtk__2020-06-13_12-30-17,C,1109321567,1134723167,990,426.61764705882354,25499.058823529413,2426.970588235294,78,11.470588235294118,24.38235294117647,27386643.269708965,34,72,4097,5,0.02758215962441314,0.24784720544524463,1.9583333333333333,0.16854668613270885,0.1742159550299354
GNOME__gtk__2020-06-13_12-30-17,C,1134723167,1160124767,1249.909090909091,519.7575757575758,33241.666666666664,2798.6363636363635,86.6969696969697,17.575757575757574,28.484848484848484,71230746.61028293,33,69,3269,4,0.02877237851662404,0.31172407990838397,1.9565217391304348,0.1603166362741535,0.21205687025598152
GNOME__gtk__2020-06-13_12-30-17,C,1160124767,1185526367,703.5925925925926,292.537037037037,19411.055555555555,1570.9814814814815,52.648148148148145,9.444444444444445,15.962962962962964,17576567.95337745,54,78,4169,6,0.03463203463203463,0.3328478955776972,2.6666666666666665,0.21431064002509104,0.20316301947507848
GNOME__gtk__2020-06-13_12-30-17,C,1185526367,1210927967,422.188679245283,187.43396226415095,11327.490566037735,990.1320754716982,30.58490566037736,4.867924528301887,11.81132075471698,9950546.224191844,53,80,2346,5,0.0300632911392405,0.35854801936483527,2.375,0.20088603226106416,0.23251180056722875
GNOME__gtk__2020-06-13_12-30-17,C,1210927967,1236329567,682.25,257.13235294117646,17805.029411764706,1384.0588235294117,44.26470588235294,8.926470588235293,19.073529411764707,19555498.184109353,68,113,6444,4,0.0279709228824273,0.36324764837793944,3.1327433628318584,0.00624753041739112,0.1886917552874232
GNOME__gtk__2020-06-13_12-30-17,C,1236329567,1261731167,474.6923076923077,195.75824175824175,13203.692307692309,1040.3186813186812,30.34065934065934,7.868131868131868,12.703296703296704,17985308.486322433,91,137,7130,6,0.01910691283812795,0.25520062945985134,2.5985401459854014,0.1308713334484678,0.2241753195227522
GNOME__gtk__2020-06-13_12-30-17,C,1261731167,1287132767,1234.175824175824,448.46153846153845,32621.01098901099,2379.835164835165,57.35164835164835,14.461538461538462,26.10989010989011,29321925.727365516,91,180,25426,6,0.01772191185599006,0.4483799103178549,3.172222222222222,0.10624005430243476,0.2796575915706721
GNOME__gtk__2020-06-13_12-30-17,C,1287132767,1312534367,1752.009708737864,691.1844660194175,49439.155339805824,3773.650485436893,99.64077669902912,28.0873786407767,37.067961165048544,32436822.186655536,103,181,25863,5,0.02065684468999386,0.4576864347157309,3.718232044198895,0.06631645821062637,0.3217932138996226
GNOME__gtk__2020-06-13_12-30-17,C,1312534367,1337935967,938.3873873873874,474.5765765765766,27276.72972972973,2506.6486486486488,82.10810810810811,22.3963963963964,22.17117117117117,20886132.683552004,111,163,16456,6,0.01848064833749905,0.40364377332624873,2.9938650306748467,0.00874447748227824,0.3378432068762307
GNOME__gtk__2020-06-13_12-30-17,C,1337935967,1363337567,612.8854166666666,304.65625,18017.729166666668,1590.3854166666667,49.8125,13.041666666666666,14.604166666666666,14744259.738933943,96,148,8174,6,0.01999448428019856,0.35915330797048783,2.939189189189189,0.03951786568841742,0.31689315973313453
GNOME__gtk__2020-06-13_12-30-17,C,1363337567,1388739167,568.3097345132743,264.070796460177,16512.12389380531,1516.424778761062,40.309734513274336,10.4070796460177,14.176991150442475,13080961.04994794,113,168,12914,5,0.02042343883661249,0.3981907281458955,3.4107142857142856,0.31384253679608987,0.2555665660717537
GNOME__gtk__2020-06-13_12-30-17,C,1388739167,1414140767,997.040404040404,459.7171717171717,28887.959595959597,2567.090909090909,85.98989898989899,25.858585858585855,30.282828282828284,34643120.00863098,99,203,16538,5,0.01526605862556699,0.4583740558506363,3.083743842364532,0.06902458301374137,0.32660780943019013
GNOME__gtk__2020-06-13_12-30-17,C,1414140767,1439542367,728.8888888888889,356.06060606060606,21740.050505050505,1975.6363636363635,60.27272727272727,14.717171717171718,21.353535353535353,16696283.684864948,99,173,9168,5,0.01508939373571716,0.3669943208351771,2.5953757225433525,0.24162793562153173,0.2991932454552651
GNOME__gtk__2020-06-13_12-30-17,C,1439542367,1464943967,1114.1720430107528,492.8709677419355,33715.408602150535,2851.2150537634407,72.27956989247312,18.9247311827957,35.02150537634409,31317562.14827809,93,213,21278,6,0.01392948888298343,0.35393640188274095,2.9530516431924885,0.29277367477424854,0.3069176468707543
GNOME__gtk__2020-06-13_12-30-17,C,1464943967,1490345567,1289.428571428571,651.1688311688312,39120.28571428572,3530.5714285714284,90.5974025974026,28.87012987012987,24.935064935064936,32140950.783437535,77,212,27536,6,0.01307788607708128,0.4267900857927134,2.759433962264151,0.104524130107421,0.2919266963102631
GNOME__gtk__2020-06-13_12-30-17,C,1490345567,1515747167,1582.7727272727273,763.8636363636364,47019.71212121212,4279.363636363636,113.45454545454544,29.666666666666668,39.121212121212125,44876157.75401696,66,219,27452,5,0.01229525365506262,0.41566569038582907,2.680365296803653,0.3813036004203922,0.26645831777536755
GNOME__gtk__2020-06-13_12-30-17,C,1515747167,1541148767,1271.2328767123288,560.4383561643835,36384.75342465754,3032.109589041096,84.86301369863014,26.95890410958904,24.246575342465754,28970304.317020547,73,200,22390,5,0.0136180904522613,0.43066764767260096,2.71,0.1834950221072814,0.32492350514299295
GNOME__gtk__2020-06-13_12-30-17,C,1541148767,1566550367,1405.8529411764705,659.1617647058823,41081.720588235294,3634.8823529411766,109.69117647058825,26.852941176470587,32.26470588235294,42191851.89203433,68,194,16387,5,0.01127076545056353,0.36363813262643946,2.1752577319587627,0.3055347689224439,0.263765815660481
GNOME__gtk__2020-06-13_12-30-17,C,1566550367,1591951967,2285.3571428571427,1011.6714285714286,66844.11428571428,5728.771428571428,147.5,46.02857142857143,46.32857142857143,58342938.797448255,70,253,37464,4,0.01132442436790262,0.4540916289927784,2.8537549407114624,0.29256280407598523,0.35614429205628334
Homebrew__homebrew-cask__2020-06-13_00-14-26,Ruby,1347090223,1372491823,388.125,285.875,9713.875,1345.375,49.5,33.75,15,222040.45330490053,8,8,89,2,0.14285714285714285,0,1,2.000000000612623e-6,0.3898723015255126
Homebrew__homebrew-cask__2020-06-13_00-14-26,Ruby,1372491823,1397893423,114.5,74.14,3108.4,388.7,14.98,8.58,6.02,69780.48797494313,50,55,778,4,0.0303030303030303,0.40493417961277334,1.6363636363636365,0.18005549841994797,0.16019374951817153
Homebrew__homebrew-cask__2020-06-13_00-14-26,Ruby,1397893423,1423295023,484.9166666666667,284.4583333333333,12777.833333333334,1411.8333333333333,64.16666666666667,32.25,20.291666666666668,597444.7837314204,24,44,1133,3,0.03646934460887949,0.35019260234571237,1.568181818181818,0.1508324924587301,0.27119273391852716
Homebrew__homebrew-cask__2020-06-13_00-14-26,Ruby,1423295023,1448696623,31.39130434782609,18.217391304347824,992,103.2608695652174,3.0434782608695654,2.3043478260869565,2.1739130434782608,19296.80171243643,23,28,131,6,0.03439153439153439,0.08712121212121213,0.9285714285714286,0.0232713978280239,0.34840891675287305
Homebrew__homebrew-cask__2020-06-13_00-14-26,Ruby,1448696623,1474098223,231.63333333333333,116.93333333333334,6435.5,601.5666666666667,23.833333333333332,12.6,9.566666666666666,227401.17419384475,30,67,1559,6,0.02532790592492085,0.24993041212804468,1.671641791044776,0.12670577519764914,0.45214216204279023
Homebrew__homebrew-cask__2020-06-13_00-14-26,Ruby,1474098223,1499499823,15.333333333333334,6.222222222222222,417.8888888888889,39.55555555555556,1.3333333333333333,1,1.6666666666666667,2322.336571720318,9,14,38,3,0.08241758241758242,0.16666666666666666,1.0714285714285714,0.0378754706699127,0.5966070966070967
Homebrew__homebrew-cask__2020-06-13_00-14-26,Ruby,1499499823,1524901423,12.857142857142858,5.714285714285714,436.7142857142857,39.142857142857146,1.7142857142857142,1.7142857142857142,2.5714285714285716,4326.840206392851,7,12,22,2,0.07575757575757576,0.27777777777777773,0.8333333333333334,0.33333500000000005,0.4426590851009456
Homebrew__homebrew-cask__2020-06-13_00-14-26,Ruby,1524901423,1550303023,55.333333333333336,25,1513,130.33333333333334,4.333333333333333,1.3333333333333333,7,56828.81129179408,3,5,14,2,0.15,0,0.6,2.000000000279556e-6,0.05563725490196079
Homebrew__homebrew-cask__2020-06-13_00-14-26,Ruby,1550303023,1575704623,162.6,96.4,4760,658.2,13.6,4.6,11.6,285958.6660132641,5,5,2,2,0.1,0,0.4,1.999999999946489e-6,0.04026315789473684
Netflix__conductor__2020-06-11_06-17-51,Java,1492872020,1518273620,521.4705882352941,328.88235294117646,15629.64705882353,2762.823529411765,50.64705882352941,23.705882352941178,7.705882352941177,6213819.918259506,17,19,331,4,0.06432748538011696,0.16608187134502925,1.1578947368421053,0.02239568306952055,0.1467079870938045
Netflix__conductor__2020-06-11_06-17-51,Java,1518273620,1543675220,2097.0689655172414,830.0344827586207,72561.55172413793,6299.896551724138,124.6206896551724,73.86206896551724,15.89655172413793,7969992.145780236,29,46,8618,5,0.07729468599033816,0.5061250769690667,3.4782608695652173,0.22834938213145672,0.17764538417875378
