project_name,primary_language,window_starts,window_ends,Events,NLOC,LevD,Tokens,CycC,Functions,Commits,HalEff,TS,N,E,Diam,Dens,ClustC,InD,EigG,FModR
gatsbyjs__gatsby__2020-06-10_13-07-25,JavaScript,1438433971.0,1463835571.0,264.35,146.45,7017.85,846.15,22.4,11.2,6.2,108938.16207661165,20,20,767.0,4.0,0.09736842105263159,0.5879166666666666,1.85,0.03070371007546091,0.3524390855236027
gatsbyjs__gatsby__2020-06-10_13-07-25,JavaScript,1463835571.0,1489237171.0,209.04918032786884,108.62295081967213,5645.868852459016,607.5081967213115,15.19672131147541,8.655737704918034,5.737704918032787,111214.05879311152,61,70,854.0,6.0,0.01677018633540373,0.21060918060918063,1.1571428571428573,0.09296780566677143,0.19255668266500306
gatsbyjs__gatsby__2020-06-10_13-07-25,JavaScript,1489237171.0,1514638771.0,254.9377990430622,143.88516746411483,6582.593301435407,634.8468899521531,16.09090909090909,10.794258373205741,4.70334928229665,132512.4815105262,209,235,6320.0,6.0,0.00856519367157665,0.34286278795140757,2.0042553191489363,0.15365745538798337,0.31237666412638615
gatsbyjs__gatsby__2020-06-10_13-07-25,JavaScript,1514638771.0,1540040371.0,194.72679045092838,111.95225464190982,5213.278514588859,568.0344827586207,11.888594164456233,7.737400530503979,3.843501326259947,156117.1997030784,377,461,12548.0,8.0,0.005663491464679807,0.3531246390415998,2.6052060737527114,0.008425708503397744,0.3385132121393126
gatsbyjs__gatsby__2020-06-10_13-07-25,JavaScript,1540040371.0,1565441971.0,154.1500872600349,107.08202443280977,4176.486910994764,526.3246073298429,11.926701570680628,9.270506108202444,2.6404886561954624,104531.94780895533,573,768,14554.0,10.0,0.003023481638418079,0.2279606363278114,2.3190104166666665,0.03619010444794235,0.33043413542153083
gatsbyjs__gatsby__2020-06-10_13-07-25,JavaScript,1565441971.0,1590843571.0,136.01149425287358,88.227969348659,3497.9885057471265,472.3524904214559,11.551724137931034,8.664750957854405,2.636015325670498,125017.76180510223,522,848,12642.0,9.0,0.0024044351874540552,0.17398287483210256,2.036556603773585,0.008949661650392016,0.3492515064383859
getsentry__sentry__2020-06-13_15-35-39,Python,1234235299.0,1259636899.0,218.33333333333334,148.66666666666666,7241.0,1119.0,20.333333333333332,9.666666666666666,6.666666666666667,344357.4821568899,3,3,6.0,2.0,0.5,0.0,1.0,1.999999999946489e-06,0.5010209290454314
getsentry__sentry__2020-06-13_15-35-39,Python,1259636899.0,1285038499.0,724.0833333333334,460.4166666666667,25708.75,3280.5833333333335,72.0,25.166666666666668,18.916666666666668,2844872.95847203,12,13,450.0,3.0,0.11538461538461538,0.0,1.3846153846153846,1.9999999998354667e-06,0.5971866638678396
getsentry__sentry__2020-06-13_15-35-39,Python,1285038499.0,1310440099.0,273.8076923076923,146.46153846153845,9163.576923076924,1203.2692307692307,30.192307692307693,11.5,10.653846153846153,1942077.4812501904,26,32,235.0,2.0,0.05342741935483871,0.3131613756613757,1.65625,0.09662737028815138,0.44977512867894126
getsentry__sentry__2020-06-13_15-35-39,Python,1310440099.0,1335841699.0,1074.9375,839.125,44991.625,8055.34375,125.78125,40.125,24.1875,31266153.62741532,32,48,912.0,2.0,0.028368794326241134,0.11119162640901771,1.3333333333333333,0.033676714753830495,0.5103013090536281
